web-scraper-order,web-scraper-start-url,name_raw,price_raw,country_raw,quantity_raw,value_raw
"1734709749-131","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Valais AOC Dôle Blanche Les Bernadettes","9.30","Schweiz, 2023","75cl","1.24/10cl"
"1734709749-132","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Douro DOC Fabelhaft Niepoort","11.25","Portugal, 2021","75cl","1.50/10cl"
"1734709749-133","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Glühwein Heisser Hirsch Rot","4.50","Deutschland","75cl","0.60/10cl"
"1734709749-134","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Toscana IGT Bianco Villa Antinori","12.50","Italien, 2023","75cl","1.67/10cl"
"1734709749-135","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Naturaplan Bio-Crémant d'Alsace AOC Wolfberger, brut","10.95","Frankreich","75cl","1.46/10cl"
"1734709749-136","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Médoc AOC Château Laffitte Laujac","8.95","Frankreich, 2021","75cl","1.19/10cl"
"1734709749-137","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Valdo Prosecco di Valdobbiadene DOCG","9.95","Italien","75cl","1.33/10cl"
"1734709749-138","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Rimuss Champion Moscato, alkoholfrei","4.95","Rimuss","75cl","0.66/10cl"
"1734709749-139","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Freixenet Carta Medium Dry semi seco","6.95","Spanien","75cl","0.93/10cl"
"1734709749-140","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Champagne AOC Impérial Moët & Chandon, brut","38.50","Frankreich","75cl","5.13/10cl"
"1734709749-141","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Bourgogne AOC Chardonnay Louis Jadot","18.95","Frankreich, 2022","75cl","2.53/10cl"
"1734709749-142","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Valais AOC Rosé Oeil de Perdrix Le Rosel 6x  75cl","42.60","Schweiz, 2023","6x 75cl","0.95/10cl"
"1734709749-143","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Legaris Crianza Ribera del Duero DO","25.50","Spanien, 2021","75cl","3.40/10cl"
"1734709749-144","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Ripasso della Valpolicella DOC Superiore Vigne Alte Zeni","9.85","Italien, 2022","75cl","1.31/10cl"
"1734709749-145","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Vino Nobile di Montepulciano DOCG Tenuta Trerose","16.95","Italien, 2020","75cl","2.26/10cl"
"1734709754-146","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Naturaplan Bio-Prosecco DOC Raphael Dal Bo, extra dry","11.95","Italien","75cl","1.59/10cl"
"1734709754-147","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Rimuss Party Traubensaft weiss, alkoholfrei","4.20","Rimuss","70cl","0.60/10cl"
"1734709754-148","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Zürich AOC Staatsschreiber Cuvée Blanc Prestige","12.70","Schweiz, 2023","75cl","1.69/10cl"
"1734709754-149","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Prosecco Superiore di Valdobbiadene Conegliano DOCG Carpené Malvolti, extra dry","10.95","Italien","75cl","1.46/10cl"
"1734709754-150","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Aigle Les Murailles Chablais AOC H. Badoux","22.50","Schweiz, 2023","70cl","3.21/10cl"
"1734709754-151","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Champagne AOC Charles Bertin, brut","19.50","Frankreich","75cl","2.60/10cl"
"1734709754-152","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Prosecco DOC Vigne dei Dogi, extra dry","6.95","Italien","75cl","0.93/10cl"
